month,ROC
1,0.001054454679446365
2,0.0011194855458876755
3,0.0013882253791442007
4,0.0013667306072422428
5,0.0015352960128319976
6,0.0015912560876163338
7,0.0015792019791474963
8,0.0017006182080057904
9,0.0019373738314843836
10,0.0015948141349138901
11,0.0014219787743108264
12,0.0017478509149222504
