type,buy,sell,update
SJC,90.300,88.300,23/05/2024 08:10:40
SJC,89.800,88.000,23/05/2024 08:42:01
SJC,89.700,87.700,23/05/2024 09:16:06
PNJ,77.600,75.700,22/05/2024 08:17:16
PNJ,77.600,75.700,22/05/2024 08:50:50
PNJ,77.600,75.700,22/05/2024 12:55:33
SJC,90.600,88.600,22/05/2024 08:17:16
SJC,90.700,88.700,22/05/2024 08:50:50
SJC,90.500,88.900,22/05/2024 12:55:33
PNJ,77.500,75.600,21/05/2024 08:01:44
PNJ,77.400,75.500,21/05/2024 09:01:25
PNJ,77.400,75.500,21/05/2024 09:20:45
SJC,90.700,88.700,21/05/2024 08:01:44
SJC,90.600,88.600,21/05/2024 09:01:25
SJC,90.400,88.400,21/05/2024 09:20:45
PNJ,77.600,75.700,20/05/2024 08:15:15
PNJ,77.600,75.700,20/05/2024 08:46:45
PNJ,77.600,75.700,20/05/2024 14:25:57
SJC,90.400,87.700,20/05/2024 08:15:15
SJC,90.500,88.500,20/05/2024 08:46:45
SJC,90.700,88.700,20/05/2024 14:25:57
PNJ,77.400,75.500,18/05/2024 08:16:06
PNJ,77.400,75.500,18/05/2024 09:17:45
SJC,89.900,87.500,18/05/2024 08:16:06
SJC,90.200,87.700,18/05/2024 09:17:45
PNJ,77.000,75.100,17/05/2024 08:07:53
PNJ,77.000,75.100,17/05/2024 14:16:34
SJC,89.800,87.300,17/05/2024 08:07:53
SJC,89.900,87.500,17/05/2024 14:16:34
PNJ,77.150,75.350,16/05/2024 08:06:52
PNJ,77.150,75.350,16/05/2024 09:11:00
PNJ,77.150,75.350,16/05/2024 10:08:09
SJC,90.200,87.700,16/05/2024 08:06:52
SJC,90.400,87.900,16/05/2024 09:11:00
SJC,90.000,87.500,16/05/2024 10:08:09
PNJ,76.700,74.800,15/05/2024 08:20:00
PNJ,76.700,74.800,15/05/2024 08:48:55
PNJ,76.900,75.000,15/05/2024 15:49:57
SJC,89.000,86.500,15/05/2024 08:20:00
SJC,89.800,87.300,15/05/2024 08:48:55
